ISCO 08 Code,ISEI value,Title DE/FR
2354,54.0,"DE: Sonstige Musiklehrer
FR: Autres professeurs de musique"
2355,54.0,"DE: Sonstige Kunstlehrer
FR: Autres professeurs de disciplines artistiques"
2356,54.0,"DE: Ausbilder im Bereich Informationstechnologie
FR: Formateurs en technologies de l’information"
2359,54.0,"DE: Lehrkräfte, anderweitig nicht genannt
FR: Spécialistes de l’enseignement, non classés ailleurs"
2400,64.0,"DE: Betriebswirte und vergleichbare akademische Berufe
FR: Spécialistes en administration d’entreprises"
2410,66.0,"DE: Akademische und vergleichbare Fachkräfte im Bereich Finanzen
FR: Spécialistes en finances"
2411,66.0,"DE: Wirtschaftsprüfer, Steuerberater und verwandte Berufe
FR: Cadres comptables"
2412,66.0,"DE: Finanz- und Anlageberater
FR: Conseillers en finances et investissements"
2413,66.0,"DE: Finanzanalysten
FR: Analystes financiers"
2420,59.0,"DE: Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung
FR: Spécialistes des fonctions administratives"
2421,59.0,"DE: Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse
FR: Analystes, gestion et organisation"
2422,62.0,"DE: Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft
FR: Spécialistes, administration et politiques"
2423,58.0,"DE: Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute
FR: Spécialistes, ressources humaines et évolution de carrière"
2424,59.0,"DE: Fachkräfte in Personalschulung und -entwicklung
FR: Spécialistes de la formation du personnel"
2430,64.0,"DE: Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit
FR: Spécialistes des ventes, de la commercialisation et des relations publiques"
2431,64.0,"DE: Akademische und vergleichbare Fachkräfte in Werbung und Marketing
FR: Spécialistes de la publicité et de la commercialisation"
2432,64.0,"DE: Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit
FR: Spécialistes des relations publiques"
2433,64.0,"DE: Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)
FR: Spécialistes des ventes, secteurs médical et technique (à l’exception des TIC)"
2434,64.0,"DE: Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie
FR: Spécialistes des ventes, des technologies de l’information et des communications"
2500,69.0,"DE: Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie
FR: Spécialistes des technologies de l’information et des communications"
2510,70.0,"DE: Entwickler und Analytiker von Software und Anwendungen
FR: Concepteurs et analystes de logiciels et de multimédia"
2511,70.0,"DE: Systemanalytiker
FR: Analystes de systèmes"
2512,70.0,"DE: Softwareentwickler
FR: Concepteurs de logiciels"
2513,70.0,"DE: Web- und Multimediaentwickler
FR: Concepteurs de sites internet et de multimédia"
